start_time,run,device_tracking,making_code,generalpurpose,EtOH (ppm),IAQ,MOX_400C,MOX_DEC_100C,MOX_DEC_150C,MOX_DEC_200C,MOX_DEC_250C,MOX_DEC_300C,MOX_DEC_350C,MOX_INC_100C,MOX_INC_150C,MOX_INC_200C,MOX_INC_250C,MOX_INC_300C,MOX_INC_350C,Rhtr_cold,TVOC (mg/m^3),Temperature_MEMS,VDDH,VDDH_400C,Vhtr_400C,board_type,comment,eCO2 (ppm),sleeptime
2021-10-27T16:11:51.546293,11,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2664.050127384149,236732.06189276717,111516.42193742542,53076.60913187654,25162.929575321883,11991.23453020315,5802.1832154397,185331.97387286922,76730.35424866868,32414.339193665353,15000.345863292983,7330.659912762066,4126.1720307111045,24.281856190074578,0.02,30.514369768143403,2.0775130615234376,2.0727019653320315,0.5553074418640138,IDT HiCom,,400.0,1.91
2021-10-27T16:11:54.556028,12,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2752.7726114210927,252597.5932342312,117474.06800708077,55504.644228500336,26141.201183996945,12426.599478088725,5992.553098505376,198057.67649863535,81107.6272182395,34010.337344643915,15692.521180251242,7647.444252650861,4264.853803197947,24.293519453568898,0.02,30.68971727905453,2.0775130615234376,2.0726378173828124,0.555967331817627,IDT HiCom,,400.0,1.9
2021-10-27T16:11:57.556291,13,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2826.764057331863,268697.86446688767,124397.73401672511,58246.70596393898,27205.555129287193,12859.605467200405,6179.438729092309,209734.38398322568,84868.63781364566,35362.06930751989,16134.060224653324,7891.449630583132,4411.224684587752,24.299351085316058,0.02,30.777391034510092,2.0775130615234376,2.0727019653320315,0.5538043591918946,IDT HiCom,,400.0,1.9
2021-10-27T16:12:00.566026,14,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2904.509969496958,279226.0300953281,127946.67829784914,59938.06834289203,27821.99315358283,13103.14451785263,6313.124770224611,222261.87491294052,88625.92512234517,36832.96418238052,16803.7870169902,8116.569290240587,4542.75196221435,24.297893177379265,0.02,30.755472595646182,2.0775130615234376,2.07276611328125,0.5539876619567873,IDT HiCom,,400.0,1.9
2021-10-27T16:12:03.566051,15,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2956.371847689311,298532.38352575124,135515.99598706944,62608.88331021118,28845.626436448616,13428.685057305036,6450.80143645441,231024.86855193975,91804.51677345482,37855.01903426167,17169.603969493706,8307.116104868914,4640.561481532955,24.299351085316058,0.02,30.777391034510092,2.0775130615234376,2.07276611328125,0.5543542674865723,IDT HiCom,,400.0,1.9
2021-10-27T16:12:06.579555,16,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3023.0881972583843,309353.9027551319,140566.1294882669,64649.747093797145,29695.203023548795,13800.133992431238,6580.988939720601,243052.69303751277,95649.47944935116,39153.307016837185,17625.352164546006,8513.589503280225,4742.226470843834,24.294977361505687,0.02,30.711635717918362,2.0775130615234376,2.072830261230469,0.5560406529235842,IDT HiCom,,400.0,1.91
2021-10-27T16:12:09.579844,17,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3063.8796909492276,318672.1137069663,143713.9515645948,66416.25362804197,30409.34626674183,14025.230189226419,6688.318748575136,252909.3688252619,99002.41913360101,40260.87308330299,17951.39221832934,8657.960859256114,4828.905271943247,24.294977361505687,0.02,30.711635717918362,2.0775130615234376,2.072573669433594,0.5557473684997559,IDT HiCom,,400.0,1.89
2021-10-27T16:12:12.589562,18,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3123.240408501242,324771.0055096419,147352.8903233243,68199.1686327379,31018.747320419378,14373.990233630439,6784.238043440121,260072.38037553,100765.26798926538,41182.766881877615,18388.974079479744,8825.981477218395,4911.880327013394,24.303724809126425,0.02,30.843146351101666,2.0775130615234376,2.072830261230469,0.5550508179931642,IDT HiCom,,400.0,1.91
2021-10-27T16:12:15.609550,19,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3167.782455656015,333243.4961304709,151077.62184825016,69267.23204619272,31650.260838983217,14587.880439720178,6903.294890024049,271437.25528203143,104447.94072119167,42106.24554253693,18845.316549426137,8998.17463271129,4991.143051036211,24.297893177379265,0.02,30.755472595646182,2.0775130615234376,2.072830261230469,0.5551607996520996,IDT HiCom,,400.0,1.91
2021-10-27T16:12:18.619814,20,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3216.0571596223876,351653.2272645091,156561.07580907343,71221.9850102203,32136.807690048747,14831.05355064028,6995.556960469241,278781.3766775552,106557.80922699637,42895.73411278948,19140.55346518137,9158.869222856738,5074.2423451181085,24.300808993252847,0.02,30.799309473373924,2.0775130615234376,2.0726378173828124,0.5550508179931642,IDT HiCom,,400.0,1.91
