start_time,run,device_tracking,making_code,generalpurpose,EtOH (ppm),IAQ,MOX_400C,MOX_DEC_100C,MOX_DEC_150C,MOX_DEC_200C,MOX_DEC_250C,MOX_DEC_300C,MOX_DEC_350C,MOX_INC_100C,MOX_INC_150C,MOX_INC_200C,MOX_INC_250C,MOX_INC_300C,MOX_INC_350C,Rhtr_cold,TVOC (mg/m^3),Temperature_MEMS,VDDH,VDDH_400C,Vhtr_400C,board_type,comment,eCO2 (ppm),sleeptime
2021-10-27T13:22:29.230826,1,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2963.884914409833,147786.49124325573,75237.46343261235,38579.53540712161,20066.103398220865,10616.084977238239,5692.11968855836,35402.73396424816,20446.780747865636,12104.379706342217,7203.684497336825,4062.65377551374,2560.721291166248,24.338714599609382,0.02,31.369188883834962,2.077448913574219,2.0726378173828124,0.5549041757812501,IDT HiCom,,400.0,0.01
2021-10-27T13:22:32.240738,2,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3808.3832335329344,214786.22766787597,105153.46660562592,52001.35495617564,26255.95169857465,13531.099093885081,7095.844680664149,130211.36694201268,60035.60287091778,28280.555716130028,13633.11982050447,6861.274922774502,4186.265841438255,24.26581920276989,0.02,30.273266940640706,2.077448913574219,2.072509521484375,0.5547208730163574,IDT HiCom,,400.0,1.91
2021-10-27T13:22:35.250824,3,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,4347.548492314098,266854.11466533545,127851.7387986482,62080.48882343891,30636.934991146652,15427.32080977567,7992.590371010709,194302.8249323906,85035.32550439484,37931.653739001464,17672.523667440233,8638.745864076296,5070.640253455419,24.249782215465206,0.02,30.03216411313801,2.077448913574219,2.072509521484375,0.5551241390991212,IDT HiCom,,400.0,1.91
2021-10-27T13:22:38.260757,4,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,4746.15865952861,306345.5958764601,144474.65767130727,68751.08069164265,33382.344838443074,16615.638463653864,8607.518796992481,243935.64899451553,102720.10499217606,45168.42995318526,20494.45324881141,9847.746802113541,5638.927673834124,24.26581920276989,0.02,30.273266940640706,2.077448913574219,2.072509521484375,0.5561506345825197,IDT HiCom,,400.0,1.9
2021-10-27T13:22:41.270556,5,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5029.082618305863,338690.6906906907,156668.40113528856,73533.98058252427,35599.2295931537,17566.818240394707,9029.831433787687,281894.16983523447,116205.50613254725,50335.170614717885,22479.23130441323,10671.738004678487,6038.5025615918585,24.258529663085945,0.02,30.163674746321313,2.077448913574219,2.0726378173828124,0.5553074418640138,IDT HiCom,,400.0,1.91
2021-10-27T13:22:44.280555,6,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5263.524697273282,361853.65853658534,165873.9393939394,78246.02564997789,37421.74217421742,18389.653579676673,9441.96618837903,313289.1865706222,125433.0943038831,53989.20671487383,23916.529504133796,11293.759512937595,6340.103655974226,24.262903386896312,0.02,30.229430062912964,2.077448913574219,2.0726378173828124,0.5541709647216797,IDT HiCom,,400.0,1.9
2021-10-27T13:22:47.280813,7,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5468.129261784761,388493.11374361935,175900.58170280274,82037.58636138556,38856.786497414956,19055.60599603476,9741.233373639661,339640.7874364079,133224.10785969382,56932.022084195996,25010.62475053694,11826.823664560598,6592.714651334011,24.251240123401995,0.02,30.05408255200192,2.077448913574219,2.0726378173828124,0.5547208730163574,IDT HiCom,,400.0,1.9
2021-10-27T13:22:50.290790,8,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5600.9492897776845,401250.713091374,179628.40363053925,83395.84024257355,39819.301682182595,19484.527279140137,9962.264150943396,357347.09158980916,140205.6206750459,59048.12415771856,25983.12912706592,12188.989967998274,6761.4469667730955,24.251240123401995,0.02,30.05408255200192,2.077448913574219,2.072573669433594,0.5532544508972169,IDT HiCom,,400.0,1.91
2021-10-27T13:22:53.300842,9,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5703.521360358945,416773.6990722065,187546.29926305672,86371.49761921853,40855.868278043636,19815.883402736465,10112.50044529942,372450.6936632921,144688.78718535468,61323.54294982794,26606.991829471306,12463.40497533931,6884.325083377216,24.258529663085945,0.02,30.163674746321313,2.077448913574219,2.0726378173828124,0.5537310380859376,IDT HiCom,,400.0,1.91
2021-10-27T13:22:56.300865,10,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5809.994585247419,428431.41081608547,192602.20635950682,88037.05396886505,41446.88116095201,20087.69938022297,10219.370934687695,390611.51113903255,150632.39014743944,62448.45496962761,27298.40721550566,12697.996251982126,7018.881180293317,24.2643612948331,0.02,30.251348501776796,2.077448913574219,2.072573669433594,0.5561139740295411,IDT HiCom,,400.0,1.9
