start_time,run,device_tracking,making_code,generalpurpose,EtOH (ppm),IAQ,MOX_400C,MOX_DEC_100C,MOX_DEC_150C,MOX_DEC_200C,MOX_DEC_250C,MOX_DEC_300C,MOX_DEC_350C,MOX_INC_100C,MOX_INC_150C,MOX_INC_200C,MOX_INC_250C,MOX_INC_300C,MOX_INC_350C,Rhtr_cold,TVOC (mg/m^3),Temperature_MEMS,VDDH,VDDH_400C,Vhtr_400C,board_type,comment,eCO2 (ppm),sleeptime
2021-10-27T14:40:47.785740,1,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,1601.4662806831222,67787.29610267226,36988.458927359134,20295.22549877983,11237.795162820674,6210.198439085851,3361.1274221961244,18999.962950613168,11429.789826378312,7195.978132855209,4494.036354797827,2413.15038343822,1323.7533145154391,24.364956942471597,0.02,31.763720783384876,2.077641357421875,2.072573669433594,0.5549041757812501,IDT HiCom,,400.0,0.0
2021-10-27T14:40:50.795947,2,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,2450.0240764944624,119485.99074910946,62339.772077264926,32785.049664324135,17393.671817512877,9249.445538581644,4908.278105376681,76854.2969654853,36779.826031442026,17604.86098324434,8572.398910390208,4302.515177797051,2616.1127652616906,24.262903386896312,0.02,30.229430062912964,2.077641357421875,2.072509521484375,0.5569938273010254,IDT HiCom,,400.0,1.89
2021-10-27T14:40:53.815653,3,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3182.74374460742,176275.0031137128,89131.12774692103,45285.16310066643,23160.20140683048,11967.526986008585,6236.930992842017,121766.22681405745,56717.59508673634,26470.100017211375,12524.028160391797,6160.569639076961,3674.011553495451,24.277482466264207,0.02,30.44861445155175,2.077641357421875,2.0727019653320315,0.5555274051818849,IDT HiCom,,400.0,1.92
2021-10-27T14:40:56.825413,4,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,3812.1181703328084,239445.94888132648,116205.50613254725,57146.79156504284,28410.264319728547,14321.100584413227,7396.519872618189,167634.06094924954,76160.09613162639,34527.223122850024,16047.036447760649,7732.863436123348,4531.6293042074,24.257071755149152,0.02,30.141756307457403,2.077641357421875,2.0724453735351562,0.554684212463379,IDT HiCom,,400.0,1.9
2021-10-27T14:40:59.835727,5,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,4366.317908142904,299415.33035311487,142599.32889723027,68561.58034468793,33541.79383676282,16494.154725693556,8455.413337104872,223642.81721632197,96605.93461528943,42808.94192651927,19454.45096146707,9112.135612454784,5282.453389092177,24.27165083451705,0.02,30.36094069609627,2.077641357421875,2.0727019653320315,0.553694377532959,IDT HiCom,,400.0,1.91
2021-10-27T14:41:02.855590,6,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,4889.414547604967,362620.52439979726,168096.93053311793,78936.749025921,37811.48706853377,18372.628350791627,9386.926108724212,283779.262086514,117576.06512316312,50927.0246905771,22492.459287675356,10377.88675880517,5939.423597881749,24.27456665039063,0.02,30.404777573824013,2.077641357421875,2.0727019653320315,0.5545009096984865,IDT HiCom,,400.0,1.9
2021-10-27T14:41:05.875206,7,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5373.357040755848,431903.74883816997,196071.20884874664,90599.91749375136,42606.03956959389,20412.12211577888,10290.67508066385,343870.36954486696,137638.0204682462,57945.014504048144,25105.263157894737,11429.789826378312,6466.336130625975,24.27310874245384,0.02,30.3828591349601,2.077641357421875,2.072573669433594,0.5553807629699707,IDT HiCom,,400.0,1.92
2021-10-27T14:41:08.885206,8,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,5817.603800939754,501214.36742164264,221597.8302444452,100644.85395512097,46619.1592177033,22047.936335141425,11062.089691072035,413587.71885817486,158949.54783436458,65910.40784488522,28063.144925304172,12532.113725984478,7038.116985772001,24.277482466264207,0.02,30.44861445155175,2.077641357421875,2.0727019653320315,0.5550874785461427,IDT HiCom,,400.0,1.91
2021-10-27T14:41:11.885451,9,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,6202.56176944075,554808.5106382979,242423.67260668342,109271.70608543309,50362.76799427718,23551.105989912918,11754.530773371613,478582.0457440328,178377.86056412986,72706.04351697527,30811.745463042294,13461.777681348087,7527.841839339471,24.276024558327418,0.02,30.42669601268784,2.077641357421875,2.072830261230469,0.5552341207580567,IDT HiCom,,400.0,1.9
2021-10-27T14:41:14.895449,10,x0000463C536D4F69,x2310,"[200, 6, 72, 11, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01,1.0,6585.051184967046,628568.9248399056,270466.9194459491,119521.2420907109,54295.940376278646,25127.807252743074,12435.125357714944,540782.3724720797,197169.18230738942,78618.06656101426,32813.884089838226,14345.748929064112,7930.510238275808,24.276024558327418,0.02,30.42669601268784,2.077641357421875,2.07276611328125,0.5540243225097657,IDT HiCom,,400.0,1.91
